'arf             	fél/fele         
churchyard       	temetõ           
churl            	bugris           
churlish         	faragatlan       
chute            	csúszda          
cicatrice        	forradás/heg     
cicerone         	idegenvezetõ     
cider            	almabor          
cigar            	szivar           
cigarette        	cigaretta        
cigarette holder 	szipka           
cigarette-case   	cigarettatárca   
cigarette-holder 	szipka           
cigarette-lighter	öngyújtó         
cinch            	könyû eset       
cinder           	hamu             
cinderella       	hamupipõke       
cinder-track     	salakpálya       
cinecamera       	filmfelvevõ gép  
cine-camera      	filmfelvevõgép   
cine-film        	mozifilm         
cinema           	mozi             
cinematograph    	vetítõgép        
cinematography   	filmipar         
cine-projector   	vetítõgép        
cinerama         	szélesvásznú film
cinnamon         	fahéj            
cinqfoil         	pimpó            
cinquefoil       	pimpó            
cipher           	nulla            
circle           	kör              
circuit          	áramkör          
circuitous       	körülményes      
circular         	visszatérõ       
circular letter  	körlevél         
circular saw     	körfûrész        
circular tour    	körutazás        
circular trip    	körutazás        
circularity      	hibás okoskodás  
circularize      	köröztet         
circulate        	kering           
circulating      	keringõ          
circulation      	keringés         
circulatory      	keringési        
circumcised      	körülmetélt      
circumcision     	körülmetélés     
circumference    	kerülete         
circumlocution   	mellébeszélés    
circumnavigate   	körülhajóz       
circumnavigation 	körülhajózás     
circumscribe     	körülír          
circumscription  	körülírás        
circumspect      	körültekintõ/óvat
circumspection   	óvatosság        
circumstance     	körülmény        
circumstances    	körülmények      
circumstancial   	körülményes      
circumvent       	megcsal/kijátszik
circus           	cirkusz          
cirrhosis        	májzsugor        
cistern          	víztároló        
citadell         	fellegvár        
citation         	idézés           
cite             	idéz             
citified         	elvárosiasodott  
citizen          	állampolgár      
citizenry        	polgárság        
citizenship      	állampolgárság   
citric acid      	citromsav        
citrus           	citrusfélék      
city             	város            
city centre      	belváros         
city hall        	városháza        
city news        	tõzsdei hírek    
city-man         	üzletember       
city-men         	üzletemberek     
cityscape        	városkép         
civic            	városi           
civic design     	városépítészet   
civics           	állampolgári isme
civies           	civilruha        
civil            	polgári          
civil action     	polgári per      
civil engineer   	általános mérnök 
civil law        	magánjog         
civil parish     	község           
civil rights     	polgárjogok      
civil servant    	köztisztviselõ   
civil service    	közszolgálat     
civil spoken     	udvarias         
civil sue        	polgári per      
civil war        	polgárháború     
civilian         	polgári          
